	language_label	profession	wikipedia_link	image_link
547	he	Philosoph	http://he.wikipedia.org/wiki/%D7%A4%D7%99%D7%9C%D7%95%D7%A1%D7%95%D7%A3	http://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg
548	he	Philosoph	http://he.wikipedia.org/wiki/%D7%A4%D7%99%D7%9C%D7%95%D7%A1%D7%95%D7%A3	http://upload.wikimedia.org/wikipedia/commons/a/a4/Socrates_Louvre.jpg
549	he	Philosoph	http://he.wikipedia.org/wiki/%D7%A4%D7%99%D7%9C%D7%95%D7%A1%D7%95%D7%A3	http://upload.wikimedia.org/wikipedia/commons/b/bc/Disambig_RTL.svg
550	hi	Philosoph	http://hi.wikipedia.org/wiki/%E0%A4%A6%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%B6%E0%A4%A8%E0%A4%BF%E0%A4%95	http://upload.wikimedia.org/wikipedia/commons/1/18/The_School_of_Athens.jpg
551	hy	Philosoph	http://hy.wikipedia.org/wiki/%D5%93%D5%AB%D5%AC%D5%AB%D5%BD%D5%B8%D6%83%D5%A1	http://upload.wikimedia.org/wikipedia/commons/9/98/Sanzio_01_Plato_Aristotle.jpg
552	ja	Philosoph	http://ja.wikipedia.org/wiki/%E6%80%9D%E6%83%B3%E5%AE%B6	-
553	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/kk/3/33/Abay.jpg
554	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/9/98/Sanzio_01_Plato_Aristotle.jpg
555	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/a/ab/Nietzsche.jpg
556	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/2/29/UWASocrates_gobeirne_cropped.jpg
557	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/1/18/The_School_of_Athens.jpg
558	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/8/8c/David_-_The_Death_of_Socrates.jpg
559	kk	Philosoph	http://kk.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BB%D0%BE%D1%81%D0%BE%D1%84	http://upload.wikimedia.org/wikipedia/commons/4/43/Immanuel_Kant_%28painted_portrait%29.jpg
