_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,no_of_persons,no_of_persons:confidence,person_plural,person_plural:confidence,person_singular_dom,person_singular_dom:confidence,person_singular_nondom,person_singular_nondom:confidence,image_url,no_of_persons_gold,no_of_persons_gold_reason,person_plural_gold,person_plural_gold_reason,person_singular_dom_gold,person_singular_dom_gold_reason,person_singular_nondom_gold,person_singular_nondom_gold_reason
882949865,false,finalized,3,3/25/2016 13:43:19,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/a/a4/Laboratorium.jpg,,,,,,,,
882949866,false,finalized,3,3/25/2016 13:47:26,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/f/f0/Kupferschmiede_-_Coppersmithy_-_Museumsdorf_Cloppenburg_-_Open_air_museum_Cloppenburg.jpg,,,,,,,,
882949867,false,finalized,3,3/25/2016 13:44:28,one_person,0.68,,,,,male,0.68,http://upload.wikimedia.org/wikipedia/commons/d/d7/Kupferschmidt-1568.png,,,,,,,,
882949868,false,finalized,3,3/25/2016 13:46:24,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/8/88/0_Le_dinandier_Guy_Clabots_-_Leffe_%281%29.JPG,,,,,,,,
882949869,false,finalized,3,3/25/2016 13:47:55,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/1/16/Copperware.jpg,,,,,,,,
882949870,false,finalized,3,3/25/2016 13:56:10,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/0/03/MTSD-11-013.jpg,,,,,,,,
882949871,false,finalized,3,3/25/2016 13:44:29,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/9/99/Medientechnologe_Siebdruck_%C3%9Cbersicht_Pr%C3%BCfungsstruktur.JPG,,,,,,,,
882949872,false,finalized,3,3/25/2016 13:45:10,several_persons_no_single_persons_depiction_is_dominant,1.0,mixed_equal_amount_of_male_and_female_persons,1.0,,,,,http://upload.wikimedia.org/wikipedia/commons/5/5e/MTSD-11-050.jpg,,,,,,,,
882949873,false,finalized,3,3/25/2016 13:43:19,one_person,0.6667,,,,,male,0.6667,http://upload.wikimedia.org/wikipedia/commons/1/1f/Pjerrot_1600.png,,,,,,,,
882949874,false,finalized,3,3/25/2016 13:48:22,several_persons_no_single_persons_depiction_is_dominant,1.0,only_female,0.3421,,,,,http://upload.wikimedia.org/wikipedia/commons/8/82/Jean_Soubeyran_als_Harlekin_1.JPG,,,,,,,,
882949875,false,finalized,3,3/25/2016 13:47:26,several_persons_no_single_persons_depiction_is_dominant,0.6792,mixed_equal_amount_of_male_and_female_persons,0.6792,,0,,,http://upload.wikimedia.org/wikipedia/commons/9/90/Jean_%2B_Brigitte_Soubeyran_Im_Zirkus.JPG,,,,,,,,
882949876,false,finalized,3,3/25/2016 13:45:17,one_person,1.0,,,,,male,0.6562,http://upload.wikimedia.org/wikipedia/commons/d/d0/Pantomime.jpg,,,,,,,,
882949877,false,finalized,3,3/25/2016 13:47:55,one_person,1.0,,,,,female,0.6667,http://upload.wikimedia.org/wikipedia/commons/6/61/Jean-Gaspard_Deburau.jpg,,,,,,,,
882949878,false,finalized,3,3/25/2016 13:44:28,several_persons_no_single_persons_depiction_is_dominant,0.66,mixed_but_predominantly_female_persons,0.66,,0,,,http://upload.wikimedia.org/wikipedia/commons/0/05/Performance.jpg,,,,,,,,
882949879,false,finalized,3,3/25/2016 13:46:47,no_person,0.6471,,0,,,,,http://upload.wikimedia.org/wikipedia/commons/7/71/Pantomime_1803.jpg,,,,,,,,
882949880,false,finalized,3,3/25/2016 13:45:08,one_person,1.0,,,,,male,1.0,http://upload.wikimedia.org/wikipedia/commons/9/9d/Fotothek_df_ps_0000303_Ofensetzer_beim_Schleifen_von_Kacheln.jpg,,,,,,,,
882949881,false,finalized,3,3/25/2016 13:45:08,no_person,0.6571,,0,,,,,http://upload.wikimedia.org/wikipedia/commons/4/40/Early_Electro-Plating.jpg,,,,,,,,
882949882,false,finalized,3,3/25/2016 13:46:21,several_persons_no_single_persons_depiction_is_dominant,1.0,only_male,0.3429,,,,,http://upload.wikimedia.org/wikipedia/commons/4/49/Impianto_di_electroplating.png,,,,,,,,
882949883,false,finalized,3,3/25/2016 13:48:22,one_person,1.0,,,,,female,1.0,http://upload.wikimedia.org/wikipedia/commons/a/ac/Fotothek_df_n-06_0000460.jpg,,,,,,,,
882949884,false,finalized,3,3/25/2016 13:48:55,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/6/64/Zinn_Mory_Barren.jpg,,,,,,,,
882949885,false,finalized,3,3/25/2016 13:48:09,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/4/4e/Enka_W._Germany_tin_plate.jpg,,,,,,,,
882949886,false,finalized,3,3/25/2016 13:46:24,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/6/61/Drei_Hansekannen.jpg,,,,,,,,
882949887,false,finalized,3,3/25/2016 13:45:17,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/4/48/Gesellenst%C3%BCck_P._Cikovac_L._Mory_GmbH.jpg,,,,,,,,
882949888,false,finalized,3,3/25/2016 15:35:13,several_persons_no_single_persons_depiction_is_dominant,0.6562,only_male,0.3437,,0,,,http://upload.wikimedia.org/wikipedia/commons/9/9d/Friedrich_Herlin_003.jpg,,,,,,,,
882949889,false,finalized,3,3/25/2016 13:44:52,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/0/08/Antimon_by_P._Cikovac_as_formerly_used_by_L._Mory_tin_pewtery.jpg,,,,,,,,
882949890,false,finalized,3,3/25/2016 13:45:31,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/5/58/Catherine_II%27s_coronation_tin_tableware_and_silver_medals_%28GIM%29_01.jpg,,,,,,,,
882949891,false,finalized,3,3/25/2016 13:44:29,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/d/dd/Bratwurst_Gl%C3%B6ckl.jpg,,,,,,,,
882949892,false,finalized,3,3/25/2016 13:46:24,several_persons_no_single_persons_depiction_is_dominant,0.3429,mixed_but_predominantly_female_persons,0.3429,,0,,,http://upload.wikimedia.org/wikipedia/commons/b/bf/Simon_Marmion_-_Scenes_from_the_Life_of_St_Bertin_%28detail%29_-_WGA14124.jpg,,,,,,,,
882949893,false,finalized,3,3/25/2016 14:11:37,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/5/53/Ludwig_Mory_M%C3%BCnchen_Zinnmarke.jpg,,,,,,,,
882949894,false,finalized,3,3/25/2016 13:45:08,several_persons_no_single_persons_depiction_is_dominant,0.6857,only_male,0.6857,,0,,,http://upload.wikimedia.org/wikipedia/commons/0/07/Bundesarchiv_B_145_Bild-F000894-0003%2C_Berlin%2C_Schiller-Theater%2C_Kost%C3%BCmwerkstatt.jpg,,,,,,,,
882949895,false,finalized,3,3/25/2016 13:52:41,no_person,1.0,,,,,,,http://upload.wikimedia.org/wikipedia/commons/f/f9/Kopfbedeckungen_zu_B%C3%BChnenkost%C3%BCmen_f%C3%BCr_Herren_Ende_des_17._Jahrhunderts.jpg,,,,,,,,
