	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	Bias	page_exist	label
134	Industriekeramik (Modelltechnik)	16.735966736	2142	21422	83.264033264	962.0	Industriekeramiker Modelltechnik	male	only male	male
135	Berufe Buchbinderei, Druckweiterverarb.	36.6999465145	2342	23422	63.3000534855	11218.0	Medientechnologe Druckverarbeitung	male	only male	male
136	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Former	male	only male	male
137	Berufe im chemisch-techn. Laboratorium	59.1680426246	4132	41322	40.8319573754	72071.0	Chemielaborjungwerker	male	only male	male
138	Rechtsberatung, -sprechung und -ordnung	75.0484007466	731	73144	24.9515992534	172518.0	Staatsanwalt	male	only male	male
139	Berufe im Gastronomieservice (o.S.)	65.2648305355	6330	63302	34.7351694645	391439.0	Restaurantfachmann	male	only male	male
140	Nautische Schiffsoffiziere und Kapitäne	4.49203447375	5241	52413	95.5079655262	3829.0	Steuermann	male	only male	male
141	Berufe in der Kraftfahrzeugtechnik	3.97341840672	2521	25212	96.0265815933	347308.0	Automechatroniker	male	only male	male
142	Berufe in der Physik (s.s.T.)	13.6886395512	4148	41484	86.3113604488	7130.0	Astronom	male	only male	male
143	Berufe im Veranstaltungsservice,-manag.	58.3260838046	6340	63402	41.6739161954	27588.0	Veranstaltungskaufmann	male	only male	male
144	Berufe in Moderation, Unterhaltung (oS)	48.0295566502	9430	94303	51.9704433498	406.0	Conférencier	male	only male	male
145	Obj.Pers.Brandschutz,Arbeitssicherh(ssT)	37.7005047672	5318	53182	62.2994952328	8915.0	Hundeführer	male	only male	male
146	Berufe Sattlerei, Herst. Lederutensilien	48.3291210334	2832	28322	51.6708789666	3561.0	Sattler	male	only male	male
147	Berufe im Justizvollzugsdienst	33.389261745	5324	53241	66.610738255	2384.0	Justizwachtmeister	male	only male	male
148	Berufe in der Pelzbe- und -verarbeitung	65.6862745098	2834	28342	34.3137254902	306.0	Pelzveredler	male	only male	male
149	Musik-,Gesangs-, Dirigententätigk. (ssT)	35.5086372361	9418	94184	64.4913627639	521.0	Ballettrepetitor	male	only male	male
150	Berufe Sozialverwaltung, versicherung	76.9933233157	7321	73212	23.0066766843	129106.0	Fachangestellter für Arbeitsmarktdienstleistungen	male	only male	male
151	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Schriftgießer	male	only male	male
152	Steno-, Phonotypisten/-typistinnen	96.8458793206	7143	71432	3.1541206794	60524.0	Stenotypist	male	only male	male
153	Berufe im Modellbau	10.0019805902	2723	27232	89.9980194098	10098.0	Biologiemodellmacher	male	only male	male
154	Trainer/innen - Fitness und Gymnastik	57.8800147221	8455	84553	42.1199852779	13585.0	Yogalehrer	male	only male	male
