	men	women	all_persons	men_ratio	labor_market_women_ratio	profession	Bias	prof_gender	labor_market_domin	labor_market_all	women_ratio	labor_market_women	labor_market_men
Einrichtungsberater	1	0	1	1.0	56.4822153968	Einrichtungsberater	male	male	female	40372.0	0.0	22803.0	17569.0
Elektroanlagenmonteur	0	1	1	0.0	3.41477678862	Elektroanlagenmonteur	male	male	male	30778.0	1.0	1051.0	29727.0
Elektrofachkraft	1	0	1	1.0	25.5998730188	Elektrofachkraft	neutral	neutral	male	220505.0	0.0	56449.0000001	164056.0
Elektroinstallateur	2	0	2	1.0	11.4381605553	Elektroinstallateur	male	male	male	191884.0	0.0	21947.9999999	169936.0
Energieberater	1	0	1	1.0	41.0920869968	Energieberater	male	male	male	10805.0	0.0	4440.0	6365.0
Erzieher	5	4	9	0.555555555556	91.0178488053	Erzieher	male	male	female	732486.0	0.444444444444	666693.0	65793.0
Ethnologe	20	11	31	0.645161290323	64.6258503401	Ethnologe	male	male	female	147.0	0.354838709677	94.9999999999	52.0000000001
Ewerführer	4	2	6	0.666666666667	5.69221386461	Ewerführer	male	male	male	4919.0	0.333333333333	280.0	4639.0
Fachangestellter für Medien- und Informationsdienste	7	5	12	0.583333333333	62.5742942051	Fachangestellter für Medien- und Informationsdienste	male	male	female	10768.0	0.416666666667	6738.00000001	4029.99999999
Facharbeiter für Nachrichtentechnik	1	0	1	1.0	11.4381605553	Facharbeiter für Nachrichtentechnik	male	male	male	191884.0	0.0	21947.9999999	169936.0
Fachinformatiker	1	0	1	1.0	16.2154269235	Fachinformatiker	male	male	male	164362.0	0.0	26652.0	137710.0
Fachkraft	1	1	2	0.5		Fachkraft	neutral	neutral			0.5		
Fachkraft für Automatenservice	1	1	2	0.5	31.1041666667	Fachkraft für Automatenservice	neutral	neutral	male	4800.0	0.5	1493.0	3307.0
Fachkraft für Holz- und Bautenschutzarbeiten	1	0	1	1.0	1.22249388753	Fachkraft für Holz- und Bautenschutzarbeiten	neutral	neutral	male	1636.0	0.0	20.0	1616.0
Fachkraft für Kreislauf- und Abfallwirtschaft	1	0	1	1.0	8.06979280262	Fachkraft für Kreislauf- und Abfallwirtschaft	neutral	neutral	male	11004.0	0.0	888.0	10116.0
Fachkraft für Lebensmitteltechnik	1	0	1	1.0	38.6667510562	Fachkraft für Lebensmitteltechnik	neutral	neutral	male	126398.0	0.0	48874.0	77524.0
Fachkraft für Metalltechnik	0	2	2	0.0	18.4493427603	Fachkraft für Metalltechnik	neutral	neutral	male	396735.0	1.0	73195.0000001	323540.0
Fachkraft für Wasserversorgungstechnik	2	1	3	0.666666666667	3.55635707845	Fachkraft für Wasserversorgungstechnik	neutral	neutral	male	27725.0	0.333333333333	986.0	26739.0
Fachkraft im Fahrbetrieb	2	0	2	1.0	11.6309063196	Fachkraft im Fahrbetrieb	neutral	neutral	male	119406.0	0.0	13888.0	105518.0
Fachpraktiker	5	0	5	1.0		Fachpraktiker	male	male			0.0		
Fachtierarzt	1	0	1	1.0	72.8797953964	Fachtierarzt	male	male	female	9775.0	0.0	7124.0	2651.0
Fahrlehrer	1	1	2	0.5	13.4048438238	Fahrlehrer	male	male	male	14823.0	0.5	1987.0	12836.0
Feinwerkmechaniker	0	1	1	0.0	14.6782915793	Feinwerkmechaniker	male	male	male	45305.0	1.0	6650.0	38655.0
Feldwebel	7	0	7	1.0	43.2896890344	Feldwebel	male	male	male	2444.0	0.0	1058.0	1386.0
Feuerungs- und Schornsteinbauer	1	0	1	1.0	1.2849391531	Feuerungs- und Schornsteinbauer	male	male	male	423522.0	0.0	5441.99999999	418080.0
Filmgeschäftsführung	6	2	8	0.75	40.1872883044	Filmgeschäftsführung	neutral	neutral	male	5019.0	0.25	2017.0	3002.0
Filmregisseur	22	0	22	1.0	50.9119332986	Filmregisseur	male	male	female	1919.0	0.0	977.0	942.0
Filmvorführer	6	1	7	0.857142857143	16.156507852	Filmvorführer	male	male	male	3757.0	0.142857142857	607.0	3150.0
Fischwirt	1	0	1	1.0	17.7215189873	Fischwirt	male	male	male	790.0	0.0	140.0	650.0
Flachglasmechaniker	1	0	1	1.0	22.984008166	Flachglasmechaniker	male	male	male	11756.0	0.0	2701.99999999	9054.00000001
Fleischer	6	0	6	1.0	13.9570504204	Fleischer	male	male	male	63982.0	0.0	8929.99999998	55052.0
Flugbegleiter	3	8	11	0.272727272727	78.2033652524	Flugbegleiter	male	male	female	39997.0	0.727272727273	31279.0	8718.0
Fluggerätmechaniker	1	0	1	1.0	7.47075732134	Fluggerätmechaniker	male	male	male	35137.0	0.0	2625.0	32512.0
Fluglotse	5	0	5	1.0	30.8085212408	Fluglotse	male	male	male	8027.0	0.0	2473.0	5554.0
Formstecher	1	0	1	1.0	50.1462693284	Formstecher	male	male	female	62214.0	0.0	31198.0	31016.0
Forstwirt	3	0	3	1.0	5.09963399756	Forstwirt	male	male	male	24590.0	0.0	1254.0	23336.0
Fotograf	3	2	5	0.6	64.1671278362	Fotograf	male	male	female	7228.0	0.4	4638.0	2590.0
Fremdenführer	1	1	2	0.5	58.0346820809	Fremdenführer	male	male	female	1730.0	0.5	1004.0	726.0
Friseur	18	7	25	0.72	91.9347511287	Friseur	male	male	female	140876.0	0.28	129514.0	11361.9999999
Funker	6	0	6	1.0	45.3608247423	Funker	male	male	male	388.0	0.0	176.0	212.0
Fußballtrainer	7	0	7	1.0	7.80452224654	Fußballtrainer	male	male	male	1371.0	0.0	107.0	1264.0
Färber	22	2	24	0.916666666667	43.0767459267	Färber	male	male	male	17369.0	0.0833333333333	7482.00000001	9886.99999999
Fördermaschinist	2	0	2	1.0	7.26492128967	Fördermaschinist	male	male	male	23758.0	0.0	1726.0	22032.0
Förster	6	3	9	0.666666666667	5.09963399756	Förster	male	male	male	24590.0	0.333333333333	1254.0	23336.0
Galerist	4	1	5	0.8	70.4447632712	Galerist	male	male	female	697.0	0.2	491.0	206.0
Gastwirt	0	1	1	0.0	46.9442078365	Gastwirt	male	male	male	18784.0	1.0	8818.00000001	9965.99999999
Gebäudereiniger	2	0	2	1.0	61.5522574535	Gebäudereiniger	male	male	female	99249.0	0.0	61090.0	38159.0
Gehilfe	5	0	5	1.0	76.2525479477	Gehilfe	male	male	female	172688.0	0.0	131679.0	41009.0000001
Geigenbauer	35	3	38	0.921052631579	29.8076923077	Geigenbauer	male	male	male	416.0	0.0789473684211	124.0	292.0
Gelbgießer	1	0	1	1.0	4.20514511873	Gelbgießer	male	male	male	6064.0	0.0	255.0	5809.0
Gemeindereferent	1	1	2	0.5	58.6139959235	Gemeindereferent	male	male	female	10303.0	0.5	6039.0	4264.0
Geograph	53	1	54	0.981481481481	42.5909494232	Geograph	male	male	male	2254.0	0.0185185185185	959.999999999	1294.0
Geologe	2	1	3	0.666666666667	30.4119850187	Geologe	male	male	male	5340.0	0.333333333333	1624.0	3716.0
Gerätezusammensetzer	1	0	1	1.0	21.0325537037	Gerätezusammensetzer	male	male	male	171962.0	0.0	36168.0	135794.0
Gerüstbauer	2	1	3	0.666666666667	0.170745589072	Gerüstbauer	male	male	male	12299.0	0.333333333333	21.0	12278.0
Gesundheits- und Krankenpflegehelfer	2	0	2	1.0	84.9596721778	Gesundheits- und Krankenpflegehelfer	male	male	female	807755.0	0.0	686266.0	121489.0
Gesundheits- und Krankenpfleger	3	8	11	0.272727272727	84.9596721778	Gesundheits- und Krankenpfleger	male	male	female	807755.0	0.727272727273	686266.0	121489.0
Glasapparatebauer	1	0	1	1.0	21.9696969697	Glasapparatebauer	male	male	male	396.0	0.0	87.0	309.0
Glasbläser	2	0	2	1.0	27.8772378517	Glasbläser	male	male	male	391.0	0.0	109.0	282.0
Glasmacher	1	0	1	1.0	17.5054582097	Glasmacher	male	male	male	17863.0	0.0	3127.0	14736.0
Gleichstellungsbeauftragte	0	6	6	0.0	32.0429252782	Gleichstellungsbeauftragte	female	female	male	12580.0	1.0	4031.0	8549.0
Goldschläger	2	1	3	0.666666666667	60.9995903318	Goldschläger	male	male	female	4882.0	0.333333333333	2978.0	1904.0
Goldschmied	39	1	40	0.975	60.9995903318	Goldschmied	male	male	female	4882.0	0.025	2978.0	1904.0
Grafiker	1	0	1	1.0	48.9152458611	Grafiker	male	male	male	40470.0	0.0	19796.0	20674.0
Gruppenleiter	1	0	1	1.0	25.9924816691	Gruppenleiter	male	male	male	451696.0	0.0	117407.0	334289.0
