	Berufsgruppe	Frauen	KldB	KldB5	Männer	Overall	name	f_name
427	Servicefachkräfte Straßen-,Schienenverk.	54.3373493976	5141	51412	45.6626506024	14110.0	Schlafwagenschaffner	Schlafwagenschaffnerin
428	Berufe in der Steuerberatung	76.2525479477	7230	72302	23.7474520523	172688.0	Steuerfachangestellter	Steuerfachangestellte
429	Berufe im Hotelservice	79.2351889413	6322	63222	20.7648110587	141499.0	Nachtportier	Nachtportierin
430	Berufe handwerkl.Metall-,Glockengießerei	4.20514511873	2414	24142	95.7948548813	6064.0	Metall- und Glockengießer	Metall- und Glockengießerin
431	Berufe i.d. Konstruktion u. im Gerätebau	12.2194707453	2722	27223	87.7805292547	102975.0	Konstrukteur	Konstrukteurin
432	Führung - Human- und Zahnmedizin	24.865650882	8149	81494	75.134349118	31634.0	Chefarzt	Chefärztin
433	Lehrkräfte allgemeinbild. Schulen (ssT)	75.0819356083	8418	84184	24.9180643917	10374.0	Hauslehrer	Hauslehrerin
434	Berufe im Tiefbau (o.S.)	2.56153858974	3220	32202	97.4384614103	60003.0	Tiefbaufacharbeiter	Tiefbaufacharbeiterin
435	Berufe in der Zimmerei	1.21315420092	3332	33322	98.7868457991	49870.0	Schiffszimmerer	Schiffszimmerin
436	Berufe in der Bildhauerei	38.6581469649	9331	93312	61.3418530351	313.0	Steinbildhauer	Steinbildhauerin
437	Kunsthandw.Schmuckherst.,Edelsteinbearb.	60.9995903318	9352	93522	39.0004096682	4882.0	Diamantschleifer	Diamantschleiferin
438	Berufe im Orgel- und Harmoniumbau	9.93690851735	9365	93652	90.0630914826	634.0	Orgel- und Harmoniumbauer	Orgel- und Harmoniumbauerin
439	Führung - Hochschullehre und -forschung	29.7738693467	8439	84394	70.2261306533	796.0	Präsident	Präsidentin
440	Berufe landwirtsch.-techn. Laboratorium	70.0948003447	1113	11132	29.9051996553	3481.0	Landwirtschaftlich-technischer Assistent	Landwirtschaftlich-technische Assistentin
441	Berufe im Rohrleitungsbau	0.269944765148	3432	34322	99.7300552349	24079.0	Rohrleitungsbauer	Rohrleitungsbauerin
442	Berufe im Gartenbau (o.S.)	21.8356761854	1210	12102	78.1643238146	135732.0	Gartenbauwerker	Gartenbauwerkerin
443	BerufeSchauspielTanz,Bewegungskunst(ssT)	41.5165165165	9428	94283	58.4834834835	1332.0	Artist	Artistin
444	Berufe Veranstaltungs- und Bühnentechnik	12.5905136121	9451	94513	87.4094863879	17815.0	Lichtgestalter	Lichtgestalterin
445	Wasserstraßen- und Brückenwärter/innen	7.47126436782	5124	51242	92.5287356322	522.0	Schleusenwärter	Schleusenwärterin
446	Berufe in der Fototechnik	57.881773399	2331	23312	42.118226601	4060.0	Fotolaborant	Fotolaborantin
447	Berufe in der Bauelektrik	1.46126422781	2621	26212	98.5387357722	224121.0	Elektromonteur	Elektromonteurin
448	Aufsicht-Veranstaltungs-Kamera-,Tontech.	19.2571659265	9459	94593	80.7428340735	2477.0	Bühnenmeister	Bühnenmeisterin
449	Berufe im Musikinstrumentenbau (s.s.T.)	33.0882352941	9368	93682	66.9117647059	136.0	Handzuginstrumentenmacher	Handzuginstrumentenmacherin
450	Berufe im Gerichtsvollzug	27.2030651341	5323	53232	72.7969348659	1305.0	Vollziehungsbeamter	Vollziehungsbeamtin
451	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92414	49.4391584587	71678.0	Journalist	Journalistin
452	Berufe i.d. spanenden Metallbearbeitung	2.73770282356	2423	24232	97.2622971764	195675.0	Zerspanungsmechaniker	Zerspanungsmechanikerin
453	Berufe in der Fototechnik	57.881773399	2331	23312	42.118226601	4060.0	Foto- und medientechnischer Assistent	Foto- und medientechnische Assistentin
454	Berufe in der Chemie- und Pharmatechnik	26.7838353922	4131	41313	73.2161646078	179627.0	Pharmazie-Ingenieur	Pharmazie-Ingenieurin
455	Rechtsanwälte/-anwältinnen	46.2251399884	7313	73134	53.7748600116	31074.0	Rechtsanwalt	Rechtsanwältin
456	Verwalt. Berufe Sozial-,Gesundheitswesen	86.944437789	7322	73223	13.055562211	83474.0	Sozialmanager	Sozialmanagerin
457	Berufe i.d. Energie-, Kraftwerkstechnik	6.16331126919	2623	26233	93.8366887308	36409.0	Reaktorfahrer	Reaktorfahrerin
458	Berufe in der Luft- und Raumfahrttechnik	7.47075732134	2523	25232	92.5292426787	35137.0	Fluggerätmechaniker	Fluggerätmechanikerin
459	Lehrkräfte in der Sekundarstufe	70.4238331399	8412	84124	29.5761668601	142155.0	Klassenlehrer	Klassenlehrerin
460	Berufe kaufm.,techn.Betriebswirtsch.(oS)	62.1600224791	7130	71303	37.8399775209	935981.0	Wirtschaftsfachwirt	Wirtschaftsfachwirtin
461	Berufe im Rettungsdienst	21.3708058503	8134	81342	78.6291941497	52305.0	Rettungssanitäter	Rettungssanitäterin
462	Berufe in der Papierherstellung	5.19575856444	2311	23112	94.8042414356	12260.0	Papiertechnologe	Papiertechnologin
463	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Büromaschinenmechaniker	Büromaschinenmechanikerin
464	Berufe in der Textilherstellung	34.0723731095	2812	28122	65.9276268905	12629.0	Textilgestalter im Handwerk	Textilgestalterin im Handwerk
465	Berufe in der Physik (s.s.T.)	13.6886395512	4148	41484	86.3113604488	7130.0	Medizinphysiker	Medizinphysikerin
466	Berufe im Objekt-,Werte-, Personenschutz	31.0871031175	5311	53112	68.9128968825	212059.0	Wächter	Wächterin
467	Berufe technische Mediengestaltung (ssT)	44.0740740741	2328	23282	55.9259259259	270.0	Chemigraf	Chemigrafin
468	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Funkelektroniker	Funkelektronikerin
469	Berufe in der Landwirtschaft (s.s.T.)	34.1637010676	1118	11184	65.8362989324	3091.0	Entwicklungshelfer	Entwicklungshelferin
470	Berufe Heilerziehungspflege, Sonderpäd.	68.3097468018	8313	83134	31.6902531982	169235.0	Arbeitserzieher	Arbeitserzieherin
471	Straßen- und Tunnelwärter/innen	2.21180663155	5121	51212	97.7881933685	25816.0	Fahrbahnmarkierer	Fahrbahnmarkiererin
472	Berufe i.d. Bekleidungsherstellung	84.4050647718	2822	28222	15.5949352282	34197.0	Modeschneider	Modeschneiderin
473	Berufe in der Werkzeugtechnik	3.10172465159	2452	24522	96.8982753484	90627.0	Werkzeugmechaniker	Werkzeugmechanikerin
474	Autoren/Autorinnen, Schriftsteller/innen	47.7832512315	9243	92434	52.2167487685	812.0	Dichter	Dichterin
475	Technische Konfektionäre, Segelmacher	54.8604292327	2823	28232	45.1395707673	7129.0	Technischer Konfektionär	Technische Konfektionärin
476	Berufe in der Chemie- und Pharmatechnik	26.7838353922	4131	41312	73.2161646078	179627.0	Pharmakant	Pharmakantin
477	Berufe in Wirtschaftsprüfung	38.28113879	7224	72244	61.71886121	28100.0	Treuhänder	Treuhänderin
478	Dirigenten/Dirigentinnen	27.8372591006	9413	94134	72.1627408994	934.0	Dirigent	Dirigentin
479	Berufe in Kostenrechnung und Kalkulation	35.7425929421	7222	72223	64.2574070579	21196.0	Kalkulator	Kalkulatorin
480	Technische Zeichner/innen	55.2902652383	2721	27212	44.7097347617	106885.0	Technischer Zeichner	Technische Zeichnerin
481	Berufe kaufm.,techn.Betriebswirtsch.(oS)	62.1600224791	7130	71302	37.8399775209	935981.0	Industriekaufmann	Industriekauffrau
482	Orthoptisten/Orthoptistinnen	95.4093343535	8113	81132	4.59066564652	1307.0	Orthoptist	Orthoptistin
483	Dolmetscher/innen und Übersetzer/innen	69.8481848185	7142	71424	30.1518151815	7575.0	Dolmetscher	Dolmetscherin
484	Rechtsanwälte/-anwältinnen	46.2251399884	7313	73134	53.7748600116	31074.0	Syndikus-Anwalt	Syndikus-Anwältin
485	Berufe Grafik-Kommunikations-,Fotodesign	48.9152458611	2322	23223	51.0847541389	40470.0	Grafiker	Grafikerin
486	Berufe Bauwerkserhaltung und -erneuerung	13.1957960296	3115	31152	86.8042039704	2569.0	Denkmaltechnischer Assistent	Denkmaltechnische Assistentin
487	Sänger/innen	48.1166205576	9412	94124	51.8833794424	4699.0	Liedermacher	Liedermacherin
488	Piloten und Verkehrsflugzeugführer	6.46539170954	5231	52313	93.5346082905	10301.0	Testpilot	Testpilotin
489	Berufe kunsthand.GlasKeram,Porzellanmal.	75.4844144903	9342	93422	24.5155855097	1187.0	Industriekeramiker Dekorationstechnik	Industriekeramikerin Dekorationstechnik
490	Medizin-tech. Berufe Funktionsdiagnostik	78.6312445856	8122	81222	21.3687554144	3463.0	Medizinisch-technischer Assistent	Medizinisch-technische Assistentin
491	Berufe in der Pharmazie (s.s.T.)	57.8807706289	8188	81883	42.1192293711	27510.0	Pharmareferent	Pharmareferentin
492	Berufe Dokumentations,Informationsdienst	62.5742942051	7333	73332	37.4257057949	10768.0	Fachangestellter für Medien- und Informationsdienste	Fachangestellte für Medien- und Informationsdienste
493	Berufe in der Gebäudereinigung	61.5522574535	5411	54112	38.4477425465	99249.0	Gebäudereiniger	Gebäudereinigerin
494	Berufe in der Fototechnik	57.881773399	2331	23312	42.118226601	4060.0	Film- und Videolaborant	Film- und Videolaborantin
495	Berufe in der Architektur	46.4820056611	3111	31114	53.5179943389	59352.0	Architekt	Architektin
496	Kunststoff,Kautschukherst.,-verarb.(ssT)	20.1141507577	2218	22184	79.8858492423	5081.0	Klebfachingenieur	Klebfachingenieurin
497	Berufe in der Chemie (s.s.T.)	45.3470549595	4138	41384	54.6529450405	4567.0	Lebensmittelchemiker	Lebensmittelchemikerin
498	Berufe in der Fischwirtschaft (o.S.)	17.7215189873	1140	11402	82.2784810127	790.0	Fischwirt	Fischwirtin
499	Berufe im Archivwesen	67.26062468	7331	73312	32.73937532	9765.0	Registrator	Registratorin
500	Aufsicht-Aus-,Trockenbau.Iso.Zimm.Glas.	2.22108756702	3339	33393	97.778912433	7834.0	Zimmererpolier	Zimmererpolierin
501	Tänzer/innen, Choreografen/innen	53.1545741325	9422	94224	46.8454258675	2536.0	Ballettmeister	Ballettmeisterin
502	Aufsicht - Ver- und Entsorgung	2.55758807588	3439	34393	97.4424119241	5904.0	Wassermeister	Wassermeisterin
503	Berufe Maschinenbau-, Betriebstechn.(oS)	13.3411949814	2510	25102	86.6588050186	611407.0	Mechaniker	Mechanikerin
504	Berufe i.d. schleifenden Metallbearbeit.	6.28800778399	2422	24222	93.711992216	32888.0	Metallschleifer	Metallschleiferin
505	Berufe in der Luft- und Raumfahrttechnik	7.47075732134	2523	25232	92.5292426787	35137.0	Leichtflugzeugbauer	Leichtflugzeugbauerin
506	Berufe in der Religionspädagogik	77.6637554585	8442	84424	22.3362445415	4580.0	Katechet	Katechetin
507	Tourismuskaufleute	82.1267850182	6311	63112	17.8732149818	56442.0	Touristikassistent	Touristikassistentin
508	Lektoren/innen	72.8127671701	9242	92424	27.1872328299	3509.0	Lektor	Lektorin
509	Verwalt. Berufe Sozial-,Gesundheitswesen	86.944437789	7322	73222	13.055562211	83474.0	Sekretär	Sekretärin
510	Tanzlehrer/innen	67.9136690647	8453	84533	32.0863309353	2085.0	Tanzlehrer	Tanzlehrerin
511	FlechtwerkgestalterBürsten-,Pinselmacher	59.0717299578	2235	22352	40.9282700422	1659.0	Korbmacher	Korbmacherin
512	Gewässer-Immissionsschutz,Abfallbeauftr.	26.1261261261	4232	42324	73.8738738739	555.0	Abfallbeauftragter	Abfallbeauftragte
513	Kunsthandw.Schmuckherst.,Edelsteinbearb.	60.9995903318	9352	93522	39.0004096682	4882.0	Goldschmied	Goldschmiedin
514	Hochbau	1.2849391531	321	32132	98.7150608469	423522.0	Feuerungs- und Schornsteinbauer	Feuerungs- und Schornsteinbauerin
515	Berufe Digital-, Printmediengestaltung	50.1462693284	2321	23212	49.8537306716	62214.0	Formstecher	Formstecherin
516	Berufe im Einkauf	49.0421123053	6111	61113	50.9578876947	115097.0	Einkäufer	Einkäuferin
517	Berufe technisch. Schiffsverkehrsbetrieb	3.8146208153	5113	51132	96.1853791847	8782.0	Nautischer Offiziersassistent	Nautische Offiziersassistentin
518	Schiffsführer Binnen-,Hafenverkehr	5.69221386461	5242	52423	94.3077861354	4919.0	Kanalsteurer	Kanalsteurerin
519	Berufe pharmazeutisch-techn. Assistenz	96.8602491956	8182	81822	3.13975080443	70547.0	Pharmazeutisch-technischer Assistent	Pharmazeutisch-technische Assistentin
520	Berufe in der Wirtschaftsinformatik	25.5314765985	4311	43112	74.4685234015	24272.0	Datenverarbeitungskaufmann	Datenverarbeitungskauffrau
521	Berufe in der Fotografie	64.1671278362	2332	23322	35.8328721638	7228.0	Fotograf	Fotografin
522	Berufe im Hochbau (o.S.)	2.24141793831	3210	32102	97.7585820617	200855.0	Hochbaufacharbeiter	Hochbaufacharbeiterin
523	Berufe in der Hauswirtschaft	93.6919095072	8321	83212	6.30809049281	190866.0	Diener	Dienerin
524	Berufe in der Programmierung	13.505193109	4342	43423	86.494806891	32158.0	Anwendungsprogrammierer	Anwendungsprogrammiererin
525	Dolmetscher/innen und Übersetzer/innen	69.8481848185	7142	71423	30.1518151815	7575.0	Schriftdolmetscher	Schriftdolmetscherin
526	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Fernmeldehandwerker	Fernmeldehandwerkerin
527	Berufe in der Physiotherapie	77.4982405505	8171	81713	22.5017594495	140669.0	Physiotherapeut	Physiotherapeutin
528	Berufe in der Glaserei	3.06442138242	3334	33342	96.9355786176	10214.0	Glaser	Glaserin
529	Berufe Maschinenbau,Betriebstechn.(ssT)	3.68870499164	2518	25182	96.3112950084	22718.0	Mühlenbauer	Mühlenbauerin
530	Berufe in der Hauswirtschaft	93.6919095072	8321	83212	6.30809049281	190866.0	Butler	Butlerin
531	Berufe i.d. spanenden Metallbearbeitung	2.73770282356	2423	24232	97.2622971764	195675.0	Revolverdreher	Revolverdreherin
532	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92413	49.4391584587	71678.0	Redakteur	Redakteurin
533	Straßen- und Tunnelwärter/innen	2.21180663155	5121	51212	97.7881933685	25816.0	Straßenwärter	Straßenwärterin
534	Berufe in der Kameratechnik	16.156507852	9452	94522	83.843492148	3757.0	Filmvorführer	Filmvorführerin
535	Berufe in Werbung und Marketing	54.6682417799	9211	92113	45.3317582201	152370.0	Werbetexter	Werbetexterin
536	Berufe in der Vermessungstechnik	27.0417875979	3121	31212	72.9582124021	32043.0	Vermessungstechniker	Vermessungstechnikerin
537	Führung - Hochschullehre und -forschung	29.7738693467	8439	84394	70.2261306533	796.0	Prorektor	Prorektorin
538	Berufe im Metallbau	2.2858399983	2441	24413	97.7141600017	281822.0	Restaurator	Restauratorin
539	Sportlehrer/innen (o.S.)	44.6119065561	8450	84503	55.3880934439	15924.0	Sportlehrer	Sportlehrerin
540	Berufe Informations,Telekommunikationst.	11.4381605553	2631	26312	88.5618394447	191884.0	Datentechnischer Assistent	Datentechnische Assistentin
541	Berufe in der Bauwerksabdichtung	0.942760942761	3323	33232	99.0572390572	2970.0	Bauwerksabdichter	Bauwerksabdichterin
542	Komponisten/Komponistinnen	31.8181818182	9414	94144	68.1818181818	22.0	Arrangeur	Arrangeurin
543	Berufe Maschinenbau-, Betriebstechn.(oS)	13.3411949814	2510	25102	86.6588050186	611407.0	Industriemechaniker	Industriemechanikerin
544	Berufe in der Wirtschaftsinformatik	25.5314765985	4311	43113	74.4685234015	24272.0	Betriebsinformatiker	Betriebsinformatikerin
545	Berufe in der Physiotherapie	77.4982405505	8171	81712	22.5017594495	140669.0	Masseur und medizinischer Bademeister	Masseurin und medizinische Bademeisterin
546	Berufe im Vertrieb (außer IKT)	34.1969853683	6112	61124	65.8030146317	462146.0	Vertriebsingenieur	Vertriebsingenieurin
547	Industriekeramik (Verfahren,Anlagentech)	25.5032397408	2141	21412	74.4967602592	11575.0	Industriekeramiker Anlagentechnik	Industriekeramikerin Anlagentechnik
548	Berufe i. d. Hochschullehre, -forschung	42.812488391	8430	84304	57.187511609	188431.0	Professor	Professorin
549	Berufe in der Biologie (Humanbiologie)	64.447695684	4127	41274	35.552304316	1367.0	Biologe	Biologin
550	Pflasterer/innen, Steinsetzer/innen	0.528109028961	3221	32212	99.471890971	5870.0	Pflasterer	Pflasterin
551	Berufe kunsthand.GlasKeram,Porzellanmal.	75.4844144903	9342	93422	24.5155855097	1187.0	Porzellanmaler	Porzellanmalerin
552	Aufsicht,Führung-Objekt-,Brandschutz	14.3865948534	5319	53193	85.6134051466	8355.0	Schwimmmeister	Schwimmmeisterin
553	Berufe Schilder-,Lichtreklameherstellung	34.2415730337	9354	93542	65.7584269663	3560.0	Schilder- und Lichtreklamehersteller	Schilder- und Lichtreklameherstellerin
554	Berufe Umweltschutzverwaltung, -beratung	41.0920869968	4231	42313	58.9079130032	10805.0	Energieberater	Energieberaterin
555	Berufe in der Lagerwirtschaft	24.9768310941	5131	51312	75.0231689059	1265705.0	Fachlagerist	Fachlageristin
556	Aufsicht, Führung - Speisenzubereitung	18.02864773	2939	29394	81.97135227	20595.0	Küchenchef	Küchenchefin
557	Verkauf drogerie-,apothekenübliche Waren	96.3538976351	6241	62412	3.64610236486	89054.0	Apothekenfacharbeiter	Apothekenfacharbeiterin
558	Schauspieler/innen	44.0665569574	9421	94214	55.9334430426	5469.0	Schauspieler	Schauspielerin
559	Berufe in der Bild- und Tontechnik	26.5236833389	9453	94532	73.4763166611	12076.0	Tonassistent	Tonassistentin
560	Berufe in der Fototechnik	57.881773399	2331	23312	42.118226601	4060.0	Fotomedienlaborant	Fotomedienlaborantin
561	Berufe in der Erziehungswissenschaft	74.5593544277	9133	91334	25.4406455723	37672.0	Kindheitspädagoge	Kindheitspädagogin
562	Berufe in der Fahrzeuglackierung	6.22029488291	2221	22212	93.7797051171	28825.0	Vorarbeiter	Vorarbeiterin
563	Berufe im Beton- und Stahlbetonbau	0.723795907426	3211	32112	99.2762040926	33573.0	Betonstahlbieger und -flechter	Betonstahlbiegerin und -flechterin
564	Aufsicht - Elektrotechnik	1.19304480264	2639	26393	98.8069551974	15758.0	Elektromechanikermeister	Elektromechanikermeisterin
565	Berufe i.d. Bekleidungsherstellung	84.4050647718	2822	28222	15.5949352282	34197.0	Zuschneider	Zuschneiderin
566	Berufe in der Feinoptik	42.1704511943	2136	21362	57.8295488057	3391.0	Feinoptiker	Feinoptikerin
567	Berufe in der Biologie (Zoologie)	46.332046332	4125	41254	53.667953668	259.0	Zoologe	Zoologin
568	Angehörige geistl. Orden, Mutterhäuser	62.5711035267	8333	83333	37.4288964733	879.0	Prior	Priorin
569	Berufe in der Kameratechnik	16.156507852	9452	94523	83.843492148	3757.0	Kameramann	Kamerafrau
570	Aufsicht,Führung-Produktionsplan,steuer.	7.61356849122	2739	27393	92.3864315088	145661.0	Industriemeister	Industriemeisterin
571	Berufe tech. Produktionsplan.,-steuerung	15.718731148	2730	27302	84.281268852	230413.0	Produktionstechnologe	Produktionstechnologin
572	Lehrkräfte für berufsbildende Fächer	63.6176386302	8421	84214	36.3823613698	55832.0	Handelslehrer	Handelslehrerin
573	Berufe im Rettungsdienst	21.3708058503	8134	81342	78.6291941497	52305.0	Betriebssanitäter	Betriebssanitäterin
574	Hotelkaufleute	71.6330078909	6321	63212	28.3669921091	7477.0	Hotelkaufmann	Hotelkauffrau
575	Berufe für Post- und Zustelldienste	47.8940392206	5132	51322	52.1059607794	205963.0	Postjungbote	Postjungbotin
576	Autoren/Autorinnen, Schriftsteller/innen	47.7832512315	9243	92434	52.2167487685	812.0	Drehbuchautor	Drehbuchautorin
577	Brauer/innen und Mälzer/innen	3.84404173531	2911	29112	96.1559582647	5463.0	Brauer und Mälzer	Brauerin und Mälzerin
578	Maschinen- und Anlagenführer/innen	12.501779731	2512	25122	87.498220269	210706.0	Maschinenführer	Maschinenführerin
579	Berufe im Verkauf (Garten, Heimwerk.)	40.2721885991	6226	62262	59.7278114009	63118.0	Verkaufsgärtner	Verkaufsgärtnerin
580	Berufe im Aus- und Trockenbau (o.S.)	1.37884208602	3330	33302	98.621157914	38293.0	Trockenbaumonteur	Trockenbaumonteurin
581	Berufe in der Nutztierhaltung	43.2111947848	1121	11212	56.7888052152	17794.0	Tierwirt	Tierwirtin
582	Berufe im Kultur- und Wasserbau	6.43323607058	3226	32262	93.5667639294	7197.0	Wasserbauer	Wasserbauerin
583	Assistenz Rechtsanwaltskanzlei,Notariat	94.3062952197	7311	73112	5.69370478029	94262.0	Rechtsanwaltsfachangestellter	Rechtsanwaltsfachangestellte
584	Berufe Gesundheits-, Krankenpflege (o.S)	84.9596721778	8130	81301	15.0403278222	807755.0	Heilgehilfe	Heilgehilfin
585	Berufe Theater-,Film-, Fernsehprod.(ssT)	60.3174603175	9448	94482	39.6825396825	945.0	Souffleur	Souffleuse
586	Aufsicht-Aus-,Trockenbau.Iso.Zimm.Glas.	2.22108756702	3339	33393	97.778912433	7834.0	Rollladen- und Sonnenschutztechnikermeister	Rollladen- und Sonnenschutztechnikermeisterin
587	Technische Zeichner/innen	55.2902652383	2721	27212	44.7097347617	106885.0	Technischer Systemplaner	Technische Systemplanerin
588	Sportlehrer/innen (s.s.T.)	47.4358974359	8458	84583	52.5641025641	3198.0	Segellehrer	Segellehrerin
589	Berufe i.d. Diät- und Ernährungstherapie	96.07009406	8176	81762	3.92990593996	7761.0	Diätassistent	Diätassistentin
590	Berufe Estrich- und Terrazzoverlegung	0.557103064067	3312	33122	99.4428969359	4308.0	Bodenleger	Bodenlegerin
591	Berufe Gesundheits-, Krankenpflege (o.S)	84.9596721778	8130	81302	15.0403278222	807755.0	Krankenpfleger	Krankenschwester
592	Schifffahrtskaufleute	42.1270978691	5165	51652	57.8729021309	5303.0	Schifffahrtskaufmann	Schifffahrtskauffrau
593	Berufe in der Justizverwaltung	93.3804860355	7325	73253	6.61951396445	16542.0	Amtsanwalt	Amtsanwältin
594	Aufsicht,Führung-Unternehmensorg,strateg	25.9924816691	7139	71393	74.0075183309	451696.0	Projektleiter	Projektleiterin
595	Aufsicht - Hochbau	1.0979692033	3219	32193	98.9020307967	22405.0	Polier	Polierin
596	Berufe kaufm.,techn.Betriebswirtsch.(oS)	62.1600224791	7130	71303	37.8399775209	935981.0	Technischer Fachwirt	Technische Fachwirtin
597	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92413	49.4391584587	71678.0	Bildredakteur	Bildredakteurin
598	Industriekeramik (Modelltechnik)	16.735966736	2142	21422	83.264033264	962.0	Figurenkeramformer	Figurenkeramformerin
599	Zahnärzte/innen, Kieferorthopäden/innen	66.0346097202	8147	81474	33.9653902798	16296.0	Zahnarzt	Zahnärztin
600	Berufe in der Bildhauerei	38.6581469649	9331	93312	61.3418530351	313.0	Steinmetz	Steinmetzin
601	Berufe im Gerüstbau	0.170745589072	3216	32162	99.8292544109	12299.0	Gerüstbauer	Gerüstbauerin
602	Berufe in der Buchhaltung	79.0444149597	7221	72213	20.9555850403	285647.0	Buchhalter	Buchhalterin
603	Berufe in der Geologie	30.4119850187	4212	42124	69.5880149813	5340.0	Geologe	Geologin
604	Berufe Desinfektion,Schädlingsbekämpfung	13.1873479319	5334	53342	86.8126520681	2055.0	Desinfektor	Desinfektorin
605	Berufe im Modellbau	10.0019805902	2723	27232	89.9980194098	10098.0	Technischer Modellbauer	Technische Modellbauerin
606	Redakteure/innen, Journalisten/innen	50.5608415413	9241	92413	49.4391584587	71678.0	Online-Redakteur	Online-Redakteurin
607	Berufe Überwachung Schiffsverkehrsbetr.	6.25990491284	5154	51543	93.7400950872	1262.0	Lotse	Lotsin
608	Berufe im chemisch-techn. Laboratorium	59.1680426246	4132	41322	40.8319573754	72071.0	Laborant	Laborantin
609	Hotelkaufleute	71.6330078909	6321	63212	28.3669921091	7477.0	Fachmann	Fachfrau
610	Berufe in der klinischen Psychologie	77.9567882775	8162	81623	22.0432117225	26752.0	Psychologisch-technischer Assistent	Psychologisch-technische Assistentin
611	Museumsberufe (o.S.)	67.3256247669	9470	94704	32.6743752331	2681.0	Kunsthistoriker	Kunsthistorikerin
612	Berufe im Glasapparatebau	21.9696969697	2132	21322	78.0303030303	396.0	Thermometermacher	Thermometermacherin
613	Berufe in der Textiltechnik (o.S.)	43.0767459267	2810	28101	56.9232540733	17369.0	Färber	Färberin
614	Tiermedizinische Fachangestellte	90.8068340731	8114	81142	9.19316592692	16447.0	Tiermedizinischer Fachangestellter	Tiermedizinische Fachangestellte
615	Berufe Buchbinderei, Druckweiterverarb.	36.6999465145	2342	23422	63.3000534855	11218.0	Buchbinder	Buchbinderin
616	TechBetriebEisenb.Luft,Schiffsverk.(ssT)	45.3608247423	5118	51182	54.6391752577	388.0	Funker	Funkerin
617	Berufe in der Baustoffprüfung	23.0246602919	4143	41432	76.9753397081	3974.0	Baustoffprüfer	Baustoffprüferin
618	Berufe technisch. Schiffsverkehrsbetrieb	3.8146208153	5113	51132	96.1853791847	8782.0	Bootsmann	Bootsfrau
619	Berufe im Beton- und Stahlbetonbau	0.723795907426	3211	32112	99.2762040926	33573.0	Beton- und Stahlbetonbauer	Beton- und Stahlbetonbauerin
620	Berufe in der Zweiradtechnik	4.72055030095	2525	25252	95.2794496991	11630.0	Fahrradmonteur	Fahrradmonteurin
621	Hotelkaufleute	71.6330078909	6321	63212	28.3669921091	7477.0	Kaufmannsgehilfe	Kaufmannsgehilfin
622	Berufe in der Metallbearbeitung (o.S.)	18.4493427603	2420	24202	81.5506572397	396735.0	Teilezurichter	Teilezurichterin
623	Berufe im chemisch-techn. Laboratorium	59.1680426246	4132	41322	40.8319573754	72071.0	Textillaborant	Textillaborantin
624	Berufe Veranstaltungs- und Bühnentechnik	12.5905136121	9451	94513	87.4094863879	17815.0	Beleuchter	Beleuchterin
625	Berufe i.d. elektrischen Betriebstechnik	4.9236883504	2625	26252	95.0763116496	108699.0	Energieelektroniker	Energieelektronikerin
626	Berufe im chemisch-techn. Laboratorium	59.1680426246	4132	41322	40.8319573754	72071.0	Stoffprüfer	Stoffprüferin
627	Berufe im Objekt-,Werte-, Personenschutz	31.0871031175	5311	53112	68.9128968825	212059.0	Luftsicherheitsbeauftragter	Luftsicherheitsbeauftragte
628	Berufe Unternehmensorga.,strategie (ssT)	44.2377678932	7138	71383	55.7622321068	4946.0	Betriebswirt	Betriebswirtin
629	Zahnmedizinische Fachangestellte	99.4084063138	8111	81113	0.591593686223	193545.0	Dentalhygieniker	Dentalhygienikerin
630	Berufe Anlagen-, Behälter-, Apparatebau	3.29425467804	3434	34342	96.705745322	39493.0	Kupferschmied	Kupferschmiedin
631	Berufe im Bibliothekswesen	81.5969741542	7332	73324	18.4030258458	23795.0	Bibliothekar	Bibliothekarin
632	Berufe i.d. Kinderbetreuung, -erziehung	91.0178488053	8311	83112	8.9821511947	732486.0	Kinderpfleger	Kinderpflegerin
633	Berufe in der Drucktechnik	22.5987478195	2341	23412	77.4012521805	73951.0	Medientechnologe Siebdruck	Medientechnologin Siebdruck
634	Berufe in der Pelzbe- und -verarbeitung	65.6862745098	2834	28342	34.3137254902	306.0	Rauchwarenzurichter	Rauchwarenzurichterin
635	Berufe Arbeitssicherh. Sicherheitstech.	13.1710869017	5312	53123	86.8289130983	35707.0	Sicherheitsbeauftragter	Sicherheitsbeauftragte
636	Berufe im Rettungsdienst	21.3708058503	8134	81342	78.6291941497	52305.0	Disponent	Disponentin
637	Berufe i. d. Hochschullehre, -forschung	42.812488391	8430	84304	57.187511609	188431.0	Lehrbeauftragter	Lehrbeauftragte
638	Berufe im Brandschutz	3.44094865995	5313	53132	96.5590513401	14589.0	Werkfeuerwehrmann	Werkfeuerwehrfrau
639	Straßen- und Tunnelwärter/innen	2.21180663155	5121	51212	97.7881933685	25816.0	Tunnelwärter	Tunnelwärterin
