,l_m_without_outliers,NormalizedGoogleDif2,Bias2,const
Medientechnologe Siebdruck,22.5987478195,0.460213289582,0,1
Medizinischer Dokumentar,85.1895119418,0.162051747617,0,1
Medizinischer Dokumentationsassistent,85.1895119418,0.267605633803,0,1
Medizinphysiker,13.6886395512,0.792580557812,0,1
Messerschmied,3.10172465159,0.980669932477,0,1
Metall- und Glockengießer,4.20514511873,0.877767936227,0,1
Metallbildner,14.0532544379,0.892531260561,0,1
Metallblasinstrumentenmacher,16.6666666667,0.927236971485,0,1
Metallschleifer,6.28800778399,0.932952924394,0,1
Metallverformer,4.20514511873,0.97906755471,0,1
Mikrotechnologe,28.2151300236,0.632047477745,0,1
Missionar,67.8608515057,0.896463352127,0,1
Mitarbeiter,34.1969853683,0.879263740507,0,1
Modenäher,84.4050647718,0.415448851775,0,1
Moderator (Beruf),48.0295566502,0.968157452596,0,1
Modeschneider,84.4050647718,0.251655629139,0,1
Modist,84.4050647718,0.640278657378,0,1
Musikalienhändler,33.5901386749,0.86395286556,0,1
Musiker,37.9399437331,0.887385970431,0,1
Musikfachhändler,33.5901386749,0.817338896616,0,1
Musikverleger,32.6357466063,0.962504986039,0,1
Mühlenbauer,3.68870499164,0.980198019802,0,1
Müller,3.44827586207,0.992671579727,0,1
Nachrichtengerätemechaniker,11.4381605553,0.915966386555,0,1
Nachtportier,79.2351889413,0.995518087717,0,1
Naturwerksteinmechaniker,4.23446184942,0.865745310958,0,1
Nautischer Offiziersassistent,3.8146208153,0.814814814815,0,1
Netzelektriker,4.9236883504,0.970301311932,0,1
Notar,48.031496063,0.984729465091,0,1
Notenstecher,50.1462693284,0.906896551724,0,1
Notfallsanitäter,21.3708058503,0.879576891782,0,1
Ofenbauer,1.59872102318,0.984379980873,0,1
Offizier,43.2896890344,0.967968177536,0,1
Online-Redakteur,50.5608415413,0.491338582677,0,1
Operationstechnischer Assistent,77.7285201604,0.282336578581,0,1
Orchesterwart,12.5905136121,0.978947368421,0,1
Orgel- und Harmoniumbauer,9.93690851735,0.899529042386,0,1
Orgelbauer,9.93690851735,0.98239514757,0,1
Orientalist,53.3333333333,0.990648101108,0,1
Orthopädietechnik-Mechaniker,29.4536817102,0.830282861897,0,1
Packmitteltechnologe,17.5711352303,0.851936740775,0,1
Pantomime,41.5165165165,0.996959800855,0,1
Papiertechnologe,5.19575856444,0.744711195626,0,1
Pastoralreferent,30.0088759784,0.25,0,1
Patentanwalt (Deutschland),46.2251399884,0.900467063939,0,1
Patentingenieur,19.2801844836,0.819641423602,0,1
Pelzveredler,65.6862745098,0.799621928166,0,1
Personaldienstleistungskaufmann,66.3964145433,0.396866840731,0,1
Personaldisponent,66.3964145433,0.337997376476,0,1
Personalreferent,66.3964145433,0.441002949853,0,1
Pfarrer,30.0088759784,0.789401238816,0,1
Pferdewirt,60.9494015234,0.394957983193,0,1
Pflasterer,0.528109028961,0.916763740337,0,1
Pförtner,31.0871031175,0.952755905512,0,1
Pharmakant,26.7838353922,0.773940345369,0,1
Pharmareferent,57.8807706289,0.374722838137,0,1
Pharmazeut,83.8102088662,0.533718689788,0,1
Pharmazieingenieur,26.7838353922,0.0698466780239,0,1
Philosoph,54.4837441944,0.869728209934,0,1
Physikalisch-technischer Assistent,32.4723846654,0.530593607306,0,1
Physiker,16.2575709276,0.889858561541,0,1
Physikingenieur,32.4723846654,0.891045710708,0,1
Physiklaborant,32.4723846654,0.702127659574,0,1
Physiotherapeut,77.4982405505,0.601907032181,0,1
Pilot,6.46539170954,0.996156162101,0,1
Platzwart,7.74886392866,0.98976001553,0,1
Poissonnier,37.0960187354,0.999964602396,0,1
Polier,1.0979692033,0.988797051472,0,1
Polizeivollzugsbeamter,52.8379772962,0.62494095418,0,1
Polster- und Dekorationsnäher,54.8604292327,0.747652102899,0,1
Portier,79.2351889413,0.988911139265,0,1
Porzellanmaler,75.4844144903,0.659050966608,0,1
Postjungbote,47.8940392206,0.873873873874,0,1
